arrival_step,cpu,mem,work,slack
0,0.1128,0.4245,2.7524,15
1,0.2508,0.3423,1.2026,27
2,0.2525,0.2069,1.1649,20
3,0.4511,0.1,1.0,15
4,0.2809,0.5,1.0,19
5,0.1812,0.1,2.2642,26
6,0.1399,0.2325,2.1529,30
6,0.182,0.3521,3.7577,25
9,0.2547,0.2904,1.0125,18
9,0.278,0.1864,2.3747,27
9,0.389,0.1,2.4063,10
9,0.2063,0.1516,3.4095,20
10,0.3708,0.1679,2.0123,25
10,0.3266,0.4172,2.4098,16
10,0.233,0.2111,4.2166,22
10,0.2269,0.2515,1.0,12
10,0.3011,0.1668,3.6829,16
10,0.3684,0.5,2.6328,23
10,0.1458,0.1,5.0,13
10,0.1631,0.2689,1.7612,15
10,0.4112,0.2517,2.0332,11
11,0.1,0.3571,5.0,18
11,0.1353,0.1164,3.0413,13
11,0.182,0.2001,2.9224,16
12,0.1256,0.128,5.0,15
12,0.2387,0.3352,1.4999,12
12,0.215,0.3183,2.4539,11
12,0.4066,0.173,1.0,30
12,0.1437,0.1951,5.0,11
13,0.2833,0.3753,3.2045,27
13,0.5,0.2796,1.3302,28
13,0.2361,0.2632,1.9719,23
13,0.2737,0.1,3.5993,26
14,0.3315,0.2716,1.0486,15
15,0.1545,0.2598,1.0,29
15,0.1872,0.5,3.9492,25
17,0.5,0.5,1.0,15
17,0.1646,0.2431,1.0,16
17,0.5,0.1379,1.6368,11
19,0.2178,0.2018,2.0953,21
19,0.2068,0.3875,1.606,19
20,0.3366,0.1242,1.1947,12
21,0.1057,0.3915,1.2327,29
21,0.2612,0.2216,2.3206,22
21,0.1,0.5,1.3207,11
21,0.3575,0.1993,2.5279,22
22,0.1576,0.3706,1.4493,11
23,0.147,0.3577,1.0,19
24,0.2386,0.4228,1.0615,23
24,0.3012,0.1,5.0,11
25,0.2408,0.1,3.1232,22
26,0.2779,0.1645,1.0,26
26,0.2154,0.1458,4.0592,30
26,0.3943,0.2673,2.4206,25
27,0.1728,0.2243,1.4378,22
27,0.2679,0.2071,5.0,11
28,0.1518,0.1979,1.8584,24
28,0.2415,0.1,5.0,30
28,0.2349,0.1678,1.0663,13
28,0.2157,0.1318,1.0577,11
29,0.3276,0.1107,3.1462,13
29,0.3298,0.5,1.0,23
29,0.2884,0.1275,3.0482,29
30,0.1532,0.1769,3.7402,14
30,0.2458,0.1,3.6348,13
32,0.4509,0.1586,1.9428,10
32,0.2524,0.5,3.3115,13
32,0.3245,0.3856,5.0,17
33,0.341,0.2645,5.0,29
33,0.4467,0.1434,1.7693,15
33,0.2327,0.4884,3.0214,22
33,0.3713,0.3916,1.8624,16
33,0.2113,0.2195,1.0,27
33,0.2839,0.1467,3.3862,23
34,0.1,0.3456,3.8942,17
34,0.5,0.1351,1.0,10
35,0.1216,0.4637,3.6899,21
36,0.2184,0.3567,2.5024,24
36,0.2,0.451,1.3125,10
37,0.2741,0.2195,1.2577,23
37,0.3506,0.2539,1.0,15
38,0.3057,0.1907,2.092,21
38,0.4193,0.5,3.8153,17
38,0.2523,0.1846,1.1645,29
39,0.5,0.5,2.128,22
39,0.3787,0.1919,2.4245,24
40,0.2452,0.1,2.4171,30
40,0.2721,0.2927,3.0434,18
40,0.1655,0.2136,2.8796,23
40,0.3125,0.5,1.889,16
41,0.4801,0.2903,2.2728,28
41,0.3453,0.1,2.3695,10
